baum id;strasse;deutsch;stammumfang;grund der faellung;latitude;longitude
356105;Bernburger Straße Grünstreifen;Eberesche;50;abgestorben;51.199.541;6.834.216
356108;GW Eller;Bergahorn;50;abgestorben;5.119.186;6.835.038
78099;Bergstraße 1;Sandbirke;90;abgestorben;51.202.293;6.893.294
52758;Karl-Geusen-Straße Grünstreifen;Rosskastanie;185;absterbend;51.207.101;6.822.749
58304;Jägerstraße 61;Echte Mehlbeere;80;abgestorben;51.205.242;6.840.178
56616;Am Hackenbruch 103;Echte Mehlbeere;100;abgestorben;51.206.952;6.841.063
59551;Neusalzer Weg 12;Robinie;210;Pilzbefall (Schwefelporling);51.210.912;6.847.818
57817;Gatherweg Einzelbaumscheibe;Südlicher Zürgelbaum;202;Pilzbefall (Riesenporling);5.120.951;6.826.843
52781;Karl-Geusen-Straße Grünstreifen;Rosskastanie;235;massive Wurzelhalsfäule;51.206.676;6.824.674
56804;Am Stufstock 8;Bergahorn;70;massiver Rindenschaden;51.208.471;6.825.374
57799;Gatherweg 55;Bergahorn;170;massiver Rindenschaden;51.209.159;6.825.477
58511;Schule Kikweg. GA;Spitzahorn;50;unterständig. bedrängt stark den Nachbarbaum;51.198.763;6.852.348
58516;Schloßallee;Spitzahorn;70;abgestorben;51.195.883;684.622
60090;Schloßallee;Bergahorn;150;abgestorben;51.195.681;6.846.294
80296;Heidelberger Straße Skatepark;Gemeine Esche;86;absterbend;51.196.593;6.846.811
80409;Schule Kikweg. GA;Feldahorn;80;abgestorben;5.119.889;6.852.255
296662;Schule Kikweg. GA;Silberahorn;60;Morschung - Stockaustriebe fällen;51.197.629;6.852.372
296670;Schule Kikweg. GA;Spitzahorn;170;eingerissener Druckzwiesel;51.198.274;6.852.714
296678;Schule Kikweg. GA;Abendländischer Lebensbaum;30;abgestorben;51.197.572;6.849.821
303581;Schule Kikweg. GA;Stieleiche;30;starker unterständiger Bedränger des Nachbarbaumes;51.198.646;6.852.015
315140;Spielplatz im Schlosspark Eller Park;Rotbuche;340;Pilzbefall (Riesenporling);51.194.667;6.853.888
337128;Heidelberger Straße;Clusius-Ulme;90;abgestorben;51.196.302;6.843.547
337129;Heidelberger Straße;Clusius-Ulme;60;abgestorben;51.196.304;6.843.462
340305;Schule Kikweg. GA;Süßkirsche;40;abgestorben;51.198.797;68.525
282976;Kaiserteich/Schwanenspiegel;Amberbaum;320;Pilzbefall & Sturmschaden;5.121.713;6.772.883
46;Alt-Pempelfort 2;Robinie;266;Pilzbefall & 40% trocken;51.231.453;6.787.447
319094;Spee'scher Graben /Karltor. GA;Spitzahorn;205;Sturmschaden. 40% trocken;51.219.747;6.771.333
318898;Carlstor Spee'scher Graben /Karltor. GA;Säulen-Buche;362;Pilzbefall (Lackporling);51.220.234;6.770.152
960;St. Benedikt-Schule;Robinie;189;absterbend;5.122.359;6.789.673
1555;Herzogstraße 68;Baumhasel;199;abgestorben;51.215.786;6.782.144
1976;Karlstraße 30;Spitzahorn;108;abgestorben;51.221.121;6.790.249
280410;Weyhepassage Gehölzbepflanzung;Zerr-Eiche;281;Pilzbefall (Schwefelporling);51.232.313;6.779.338
280912;Weyhepassage Gehölzbepflanzung;Rotbuche;357;abgestorben;51.233.496;677.466
356793;Königsallee 18;Rosskastanie;150;absterbend;51.225.301;6.779.223
356794;Königsallee 82;Rosskastanie;121;absterbend;51.220.681;6.779.093
2098;Königsallee 34a;Rosskastanie;156;absterbend;51.224.195;6.779.412
2142;Königsallee 94;Rosskastanie;170;absterbend;51.219.555;6.779.053
2136;Königsallee 98;Rosskastanie;183;absterbend;5.121.916;6.779.262
33761;Königsallee 59;Rosskastanie;237;absterbend;51.219.883;677.849
2190;Königsallee 92;Rosskastanie;203;absterbend;5.121.988;6.778.963
2106;Königsallee 56;Rosskastanie;247;absterbend;5.122.275;6.779.369
42062;Wildenbruchstraße 46;Pflaumenblättriger Weißdorn;125;abgestorben;51.228.662;6.754.135
42007;Friedr.-von-Bodelschwingh-Grundschule;Sumpfeiche;200;Verdacht auf Phythophthora;51.229;6.756.791
459;Cecilienallee 4;Rosskastanie;45;abgestorben;51.239.912;6.771.157
463;Cecilienallee 5;Rosskastanie;320;absterbend;51.240.052;6.771.122
541;Cecilienallee 16;Rosskastanie;95;abgestorben;51.242.792;6.769.654
741;Cecilienallee 68;Zweigriffeliger Weißdorn;35;abgestorben;51.247.845;676.378
769;Cecilienallee 52;Zweigriffeliger Weißdorn;55;abgestorben;51.246.552;676.592
771;Cecilienallee 52;Zweigriffeliger Weißdorn;55;abgestorben;51.246.471;6.766.044
792;Cecilienallee 40;Zweigriffeliger Weißdorn;25;abgestorben;51.245.082;6.767.867
800;Cecilienallee 37;Zweigriffeliger Weißdorn;55;abgestorben;5.124.473;6.768.269
830;Cecilienallee 19;Zweigriffeliger Weißdorn;55;abgestorben;51.243.259;6.769.709
831;Cecilienallee 19;Zweigriffeliger Weißdorn;55;abgestorben;51.243.211;6.769.747
858;Cecilienallee 6;Zweigriffeliger Weißdorn;20;abgestorben;51.240.796;6.771.217
875;Cecilienallee 4;Zweigriffeliger Weißdorn;55;abgestorben;5.123.985;6.771.555
885;Cecilienallee 3;Zweigriffeliger Weißdorn;55;abgestorben;51.238.579;6.771.928
899;Cecilienallee 1;Zweigriffeliger Weißdorn;20;abgestorben;51.237.475;6.772.173
900;Cecilienallee 1;Zweigriffeliger Weißdorn;50;abgestorben;51.237.419;6.772.182
901;Cecilienallee 1;Zweigriffeliger Weißdorn;50;abgestorben;51.237.361;6.772.191
21393;Am Pappelwäldchen 3;Kanadische Pappel;400;Pilzbefall;51.236.663;6.762.215
21415;Am Pappelwäldchen 3;Kanadische Pappel;400;Pilzbefall;51.237.735;6.761.768
21416;Am Pappelwäldchen 3;Kanadische Pappel;450;Stammschäden;51.237.992;6.761.725
21426;Am Pappelwäldchen 3;Pyramiden-Pappel;320;Morschung an Geschwür;51.239.364;676.107
